"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 24, 2020","131.97","131.32","133.46","131.10","54.93M","0.77%"
"Dec 23, 2020","130.96","132.18","132.32","130.83","88.22M","-0.70%"
"Dec 22, 2020","131.88","131.68","134.40","129.66","169.35M","2.85%"
"Dec 21, 2020","128.23","125.03","128.26","123.47","121.25M","1.24%"
"Dec 18, 2020","126.65","128.96","129.10","126.12","192.54M","-1.59%"
"Dec 17, 2020","128.70","129.00","129.52","128.05","94.36M","0.70%"
"Dec 16, 2020","127.81","127.41","128.37","126.56","96.93M","-0.05%"
"Dec 15, 2020","127.88","124.26","127.89","124.15","157.57M","5.01%"
"Dec 14, 2020","121.78","122.54","123.32","121.72","79.08M","-0.51%"
"Dec 11, 2020","122.41","122.43","122.76","120.55","86.94M","-0.67%"
"Dec 10, 2020","123.24","120.37","123.86","120.37","81.31M","1.20%"
"Dec 09, 2020","121.78","124.49","125.93","121.07","115.09M","-2.09%"
"Dec 08, 2020","124.38","124.30","124.98","123.11","82.23M","0.51%"
"Dec 07, 2020","123.75","122.34","124.54","122.26","86.71M","1.23%"
"Dec 04, 2020","122.25","122.60","122.86","121.52","78.26M","-0.56%"
"Dec 03, 2020","122.94","123.51","123.77","122.24","78.97M","-0.11%"
"Dec 02, 2020","123.08","122.15","123.37","120.92","89.00M","0.29%"
"Dec 01, 2020","122.72","121.01","123.47","120.01","125.92M","3.08%"
"Nov 30, 2020","119.05","116.97","120.97","116.81","167.20M","2.11%"
"Nov 27, 2020","116.59","116.57","117.49","116.22","46.69M","0.48%"